Composition (wt%),Phases,Heat Treatment,Test Temperature (°C),Grain Size (μm),Dislocation Density (m^2),YS (MPa),UTS (MPa),Hardness (HV),Elongation (%),Strain Rate (s⁻¹),n,K (Mpa)
"Co: 0.70, Ni: 0.20, Cr: 0.10",gamma,Tempering,400,,9.59E+14,255.7474,731.5614,432.4382,11.01426,0.233283,0.44816,186.2279
"Co: 0.50, Ni: 0.30, Re: 0.20",alpha,Normalizing,300,93.46,1.90E+14,,662.0475,336.5156,27.80463,0.440221,0.353898,160.781
"Co: 0.60, Ni: 0.20, Ta: 0.20",beta,Tempering,400,61.19,8.10E+14,438.0735,1043.793,431.8594,24.2222,,0.33077,409.7782
"Co: 0.65, Ni: 0.20, V: 0.15",alpha,Tempering,,75.25,6.08E+14,401.3917,487.5092,187.6661,29.75518,0.384099,0.299769,
"Co: 0.60, Ni: 0.15, Zn: 0.25",beta,Tempering,300,37.24,4.60E+13,554.56,662.5017,,25.78168,0.914648,0.140982,209.6505
"Co: 0.70, Ni: 0.15, Ti: 0.15",beta,Normalizing,25,89.03,9.25E+14,511.205,1041.356,347.3971,22.59823,0.339244,0.110914,356.4744
"Co: 0.60, Ni: 0.25, Mn: 0.15",gamma,Normalizing,200,84.75,7.51E+14,479.2894,,277.4179,17.75892,0.4409,0.44112,406.6643
"Co: 0.50, Ni: 0.30, W: 0.20",beta,Quenching,200Â°C,90.72,4.68E+14,505.4934125156701 MPa,445.8605,,20.96916,0.828307,0.491339,169.0956
"Co: 0.70, Ni: 0.15, Ti: 0.15",alpha,Tempering,200,21.37,7.59E+14,315.2785,425.0244,262.9255,11.03694,0.199867,0.447057,480.8381
"Co: 0.60, Ni: 0.25, Nb: 0.15",,Normalizing,400,63.38,6.49E+14,676.5834,1033.314,483.3925,6.888236,0.489526,,381.979
"Co: 0.65, Ni: 0.20, V: 0.15",beta,Annealing,,9.63,4.29E+14,786.1388,953.1664,266.4471,23.85952,,,236.3697
"Co: 0.65, Ni: 0.20, V: 0.15",gamma,Quenching,200,,2.30E+14,610.5023,797.7218,488.506,12.33172,,0.210476,
"Co: 0.60, Ni: 0.25, Nb: 0.15",gamma,Normalizing,25,35.05,5.05E+14,619.3693,695.2782,243.2238,12.4887,0.562815,0.316909,139.617
"Co: 0.75, Ni: 0.15, B: 0.10",beta,Normalizing,25,8.79,,,675.9238,131.431,8.108223,0.885327,0.126823,360.2116
"Co: 0.55, Ni: 0.20, Cr: 0.25",alpha,Quenching,200,5.15,8.21E+14,404.8042,1090.879,338.9847,12.01463,0.453021,0.189707,193.8771
"Co: 0.60, Ni: 0.25, Mn: 0.15",alpha,Quenching,300,71.3,1.54E+14,795.1745,640.3099,337.4374,28.81789,0.589563,0.484208,322.9439
"Co: 0.50, Ni: 0.30, Zr: 0.20",gamma,Annealing,25,56.82,5.71E+14,532.5921,837.3412,243.2238,22.01463,0.37098,,245.5772
