Composition (wt%),Phases,Heat Treatment,Test Temperature (°C),Grain Size (μm),Dislocation Density (×10¹⁴ m⁻²),YS (MPa),UTS (MPa),Hardness (HV),Elongation (%),Strain Rate (s⁻¹),n,K (Mpa)
"Co: 0.60, Ni: 0.20, Al: 0.20",alpha,Tempering,200.0,87.35,1.33,571.87,740.79,306.25,27.74,0.1,0.37,228.3
"Co: 0.60, Ni: 0.20, Al: 0.20",alpha,Quenching,200.0,51.43,5.74,371.83,803.96,457.63,7.85,0.46,0.17,262.24
"Co: 0.50, Ni: 0.30, W: 0.20",alpha,Annealing,25.0,65.2,3.37,502.13,405.48,373.39,10.24,0.18,0.44,277.74
"Co: 0.70, Ni: 0.20, C: 0.10",delta,Normalizing,300.0,30.69,2.79,763.9,1199.59,306.25,16.22,0.22,0.16,218.86
"Co: 0.60, Ni: 0.25, Nb: 0.15",delta,Quenching,300.0,38.78,4.08,469.65,537.22,255.78,6.04,0.28,0.36,460.34
"Co: 0.70, Ni: 0.5, Zr: 0.15",delta,Annealing,300.0,87.94,8.48,502.13,618.47,455.3,17.94,0.84,0.32,334.38
"Co: 0.50, Ni: 0.30, W: 0.20",alpha,Quenching,300.0,27.52,7.49,502.13,694.05,303.85,6.29,0.73,0.25,260.48
"Co: 0.60, Ni: 0.25, Mn: 0.15",delta,Quenching,25.0,32.24,5.53,502.13,534.22,236.87,6.32,0.05,0.31,234.08
"Co: 0.75, Ni: 0.15, B: 0.10",alpha,Normalizing,200.0,44.11,8.54,218.46,785.98,164.39,29.48,0.92,0.29,486.76
"Co: 0.70, Ni: 0.20, Cr: 0.10",gamma,Tempering,400.0,51.43,9.59,255.75,731.56,432.44,11.01,0.23,0.45,186.23
"Co: 0.50, Ni: 0.30, Re: 0.20",alpha,Normalizing,300.0,93.46,1.9,502.13,662.05,336.52,27.8,0.44,0.35,160.78
"Co: 0.60, Ni: 0.20, Ta: 0.20",beta,Tempering,400.0,61.19,8.1,438.07,1043.79,431.86,24.22,0.47,0.33,409.78
"Co: 0.65, Ni: 0.20, V: 0.15",alpha,Tempering,400.0,75.25,6.08,401.39,487.51,187.67,29.76,0.38,0.3,296.32
"Co: 0.60, Ni: 0.15, Zn: 0.25",beta,Tempering,300.0,37.24,0.46,554.56,662.5,306.25,25.78,0.91,0.14,209.65
"Co: 0.70, Ni: 0.15, Ti: 0.15",beta,Normalizing,25.0,89.03,9.25,511.2,1041.36,347.4,22.6,0.34,0.11,356.47
"Co: 0.60, Ni: 0.25, Mn: 0.15",gamma,Normalizing,200.0,84.75,7.51,479.29,785.98,277.42,17.76,0.44,0.44,406.66
"Co: 0.50, Ni: 0.30, W: 0.20",beta,Quenching,200.0,90.72,4.68,502.13,445.86,306.25,20.97,0.83,0.49,169.1
"Co: 0.70, Ni: 0.15, Ti: 0.15",alpha,Tempering,200.0,21.37,7.59,315.28,425.02,262.93,11.04,0.2,0.45,480.84
"Co: 0.60, Ni: 0.25, Nb: 0.15",alpha,Normalizing,400.0,63.38,6.49,676.58,1033.31,483.39,6.89,0.49,0.31,381.98
"Co: 0.65, Ni: 0.20, V: 0.15",beta,Annealing,400.0,9.63,4.29,786.14,953.17,266.45,23.86,0.47,0.31,236.37
"Co: 0.65, Ni: 0.20, V: 0.15",gamma,Quenching,200.0,51.43,2.3,610.5,797.72,488.51,12.33,0.47,0.21,296.32
"Co: 0.60, Ni: 0.25, Nb: 0.15",gamma,Normalizing,25.0,35.05,5.05,619.37,695.28,243.22,12.49,0.56,0.32,139.62
"Co: 0.75, Ni: 0.15, B: 0.10",beta,Normalizing,25.0,8.79,5.11,502.13,675.92,131.43,8.11,0.89,0.13,360.21
"Co: 0.55, Ni: 0.20, Cr: 0.25",alpha,Quenching,200.0,5.15,8.21,404.8,1090.88,338.98,12.01,0.45,0.19,193.88
"Co: 0.60, Ni: 0.25, Mn: 0.15",alpha,Quenching,300.0,71.3,1.54,795.17,640.31,337.44,28.82,0.59,0.48,322.94
"Co: 0.50, Ni: 0.30, Zr: 0.20",gamma,Annealing,25.0,56.82,5.71,532.59,837.34,243.22,22.01,0.37,0.31,245.58
