Composition,Phases,Heat Treatment,Test Temperature (°C),Grain Size (μm),Dislocation Density (×10¹⁴ m⁻²),YS (MPa),UTS (MPa),Hardness (HV),Elongation (%),Strain Rate (s⁻¹),n,K (Mpa)
Co15Ni,HCP,"Annealed @950°C, slow cool",300.0,5.1,1.56,471.0,765.0,218.0,20.3,2300.0,0.18,672.19
Co20Ni,HCP + carbides,"Annealed @950°C, slow cool",100.0,9.2,1.95,382.0,708.0,235.17,16.7,8000.0,0.19,715.0
Co25Ni,FCC + HCP,"Aged 650°C, 2h",500.0,6.3,4.46,504.0,656.0,250.0,22.6,8800.0,0.17,668.0
Co10Ni,HCP + carbides,"Annealed @950°C, slow cool",500.0,11.0,1.58,491.0,735.0,235.17,19.98,1100.0,0.19,603.0
Co10Ni,HCP,"Hot rolled, aged at 800°C",100.0,7.0,1.68,413.0,752.0,225.0,24.8,8600.0,0.17,706.0
Co25Ni,HCP + carbides,"Cold worked 15%, no aging",200.0,6.8,4.12,424.0,741.0,235.17,22.3,9600.0,0.16,724.0
Co20Ni,HCP,"Annealed @950°C, slow cool",25.0,4.7,3.94,449.24,755.0,255.0,19.98,6300.0,0.23,639.0
Co15Ni,HCP + carbides,"Cold worked 15%, no aging",25.0,8.4,4.44,492.0,688.0,236.0,19.98,5200.0,0.19,610.0
Co10Ni,HCP + carbides,"Annealed at 1100°C, water quenched",600.0,8.07,4.23,410.0,736.0,247.0,15.1,1600.0,0.17,672.19
Co20Ni,FCC,"Annealed @950°C, slow cool",500.0,8.0,4.47,405.0,673.0,235.17,15.1,8800.0,0.23,600.0
Co15Ni,FCC,"Hot rolled, aged at 800°C",300.0,8.07,3.89,398.0,746.0,223.0,21.6,2000.0,0.17,733.0
Co,FCC,"Annealed @950°C, slow cool",600.0,6.7,4.23,425.0,634.0,257.0,17.4,5000.0,0.2,721.0
Co15Ni,FCC,"Annealed @950°C, slow cool",400.0,5.9,3.65,431.0,643.0,255.0,23.1,7400.0,0.24,691.0
