Composition,Phases,Heat Treatment,Test Temperature (°C),Grain Size (μm),Dislocation Density (×10¹⁴ m⁻²),YS (MPa),UTS (MPa),Hardness (HV),Elongation (%),Strain Rate (s⁻¹),n,K (Mpa)
Co45Ni10Cr5Fe,γ (FCC),Solution treated 1150°C/1h,25,95.0,0.28,585.0,750.0,230.0,24.5,1000.0,0.31,1180.0
Co7Ni25Cr15Mo2Fe1Ti,γ (FCC) + σ + M23C6,Solution treated 1170°C/2h + aged 760°C/24h,25,36.0,18.0,885.0,1130.0,355.0,6.4,1000.0,0.13,1342.21
Co12Ni20Cr12Mo5Fe,γ (FCC) + σ,Hot forged + aged 800°C/8h,25,38.0,16.0,850.0,1085.0,340.0,7.5,1000.0,0.15,1605.0
Co27Ni15Cr10Mo,γ (FCC),Solution treated 1180°C/2h,25,58.0,0.55,695.0,890.0,271.24,15.2,1000.0,0.23,1350.0
Co17Ni18Cr13Mo1Nb,γ (FCC) + γ',Solution treated 1150°C/2h + aged 750°C/16h,25,41.0,5.4,825.0,1055.0,330.0,9.8,1000.0,0.17,1545.0
Co38Ni8Cr5Mo,γ (FCC),Hot rolled + annealed 1100°C/1h,25,78.0,0.32,625.0,805.0,245.0,20.3,1000.0,0.28,1245.0
Co100,ε (HCP),Annealed 900°C/1h,25,65.0,0.35,480.0,690.0,220.0,15.5,1000.0,0.29,1140.0
Co5Fe5Cr,ε (HCP) + γ (FCC),Cold worked 50% + annealed 800°C/1h,25,25.0,9.8,620.0,865.93,265.0,12.8,1000.0,0.22,1342.21
Co10Ni5Cr,γ (FCC) + ε (HCP),Hot rolled + annealed 950°C/1h,25,48.0,0.65,525.0,745.0,235.0,14.8,1000.0,0.26,1195.0
Co50Ni10Cr,γ (FCC),Solution treated 1150°C/1h,25,105.0,0.24,560.0,725.0,220.0,13.41,1000.0,0.32,1155.0
Co60Ni5Cr,γ (FCC),Solution treated 1150°C/1h,25,120.0,0.2,520.0,680.0,205.0,29.5,1000.0,0.34,1120.0
Co70Ni,γ (FCC),Solution treated 1150°C/1h,25,53.53,0.16,676.62,635.0,190.0,33.2,1000.0,0.23,1080.0
Co80Ni,γ (FCC),Solution treated 1150°C/1h,25,150.0,5.4,450.0,590.0,175.0,36.8,1000.0,0.38,1020.0
Co90Ni,γ (FCC),Solution treated 1150°C/1h,25,165.0,0.09,425.0,550.0,160.0,41.5,1000.0,0.41,1342.21
Co20Ni15Cr10Mo3Fe,γ (FCC),Solution treated 1150°C/4h + aged 780°C/8h,800,45.0,1.5,585.0,755.0,235.0,9.5,1000.0,0.25,1250.0
Co18Ni15Cr10Mo2Fe1W,γ (FCC),Cold rolled 65% + annealed 950°C/2h,800,32.0,12.0,640.0,825.0,271.24,7.4,1000.0,0.22,1330.0
Co25Ni20Cr10Mo,γ (FCC),Hot rolled + solution treated 1200°C/2h,800,55.0,0.37,545.0,705.0,215.0,13.0,1000.0,0.27,1165.0
Co30Ni10Cr5Mo,γ (FCC),Solution treated 1180°C/4h,800,53.53,0.34,525.0,680.0,205.0,14.2,1000.0,0.29,1125.0
Co15Ni20Cr15Mo2Fe,γ (FCC),Solution treated 1200°C/2h + aged 750°C/16h,800,38.0,7.6,676.62,860.0,265.0,6.0,1000.0,0.2,1365.0
Co2Ni30Cr5Mo2Ti,ε (HCP) + M23C6,Solution treated 1200°C/2h + aged 850°C/4h,25,28.0,5.4,950.0,1210.0,380.0,5.4,1000.0,0.11,1342.21
Co13Ni25Cr8Mo2Nb,γ (FCC) + γ' + M23C6,Solution treated 1170°C/2h + aged 780°C/10h,25,39.0,14.0,840.0,1075.0,335.0,8.3,1000.0,0.16,1575.0
Co22Ni12Cr15Mo,γ (FCC),Hot forged + solution treated 1150°C/2h,25,45.0,0.72,735.0,865.93,295.0,13.8,1000.0,0.21,1425.0
Co27Ni15Cr10Mo1Fe1W,γ (FCC) + M23C6,Solution treated 1180°C/4h + aged 750°C/16h,25,50.0,0.98,775.0,990.0,310.0,12.4,1000.0,0.19,1480.0
Co32Ni10Cr8Mo1Ti,γ (FCC),Hot rolled + annealed 1000°C/1h,25,65.0,0.48,670.0,860.0,270.0,17.2,1000.0,0.24,1325.0
Co20Ni15Cr10Mo3Fe,γ (FCC),Solution treated 1150°C/4h + aged 780°C/8h,1000,53.53,1.2,520.0,675.0,210.0,8.8,1000.0,0.26,1180.0
Co18Ni15Cr10Mo2Fe1W,γ (FCC),Cold rolled 65% + annealed 950°C/2h,1000,32.0,9.5,570.0,735.0,271.24,6.7,1000.0,0.23,1255.0
Co25Ni20Cr10Mo,γ (FCC),Hot rolled + solution treated 1200°C/2h,1000,55.0,0.3,485.0,630.0,195.0,12.3,1000.0,0.23,1342.21
Co30Ni10Cr5Mo,γ (FCC),Solution treated 1180°C/4h,1000,68.0,5.4,465.0,610.0,185.0,13.5,1000.0,0.3,1065.0
Co15Ni20Cr15Mo2Fe,γ (FCC),Solution treated 1200°C/2h + aged 750°C/16h,1000,38.0,7.0,600.0,780.0,240.0,5.5,1000.0,0.21,1295.0
Co50Ni30Cr15Mo5W5,γ (FCC) + ε (HCP),Hot rolled + aged 1000°C/10h,600,25.0,5.71,545.0,780.0,320.0,11.7,1000.0,0.27,1095.0
